First Term Gpa,Second Term Gpa,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Previous Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
4.38,4.272727,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,4.0,73.0,31.0,9.0,1.0
3.217391,3.25,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,77.66,34.17,8.0,1.0
3.145833,1.619048,3.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,4.0,72.04,38.0,8.0,1.0
2.98,2.6,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,73.0,28.0,9.0,1.0
3.131579,1.25,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,73.0,20.0,9.0,1.0
3.909091,3.159091,3.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,4.0,85.74,49.0,8.0,1.0
4.090909,3.840909,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,83.88,45.0,8.0,1.0
4.176471,4.214286,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,4.0,79.0,42.06,8.0,1.0
3.026316,2.291667,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,72.0,25.0,7.0,1.0
3.619048,4.041667,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,85.86,37.97,8.0,1.0
0.26087,2.318182,3.0,4.0,6.0,1.0,1.0,2.0,2.0,1.0,3.0,69.9,43.0,8.0,1.0
3.54,2.142857,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,75.0,31.0,9.0,1.0
3.611111,3.851852,1.0,8.0,6.0,1.0,2.0,1.0,2.0,2.0,7.0,87.46,43.07,10.0,1.0
3.56,3.7,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,91.0,46.0,9.0,1.0
3.475,3.045455,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,79.37,40.82,8.0,1.0
3.145833,2.5,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,86.0,28.0,9.0,1.0
3.705882,3.673913,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,85.77,43.41,8.0,1.0
3.5,4.02,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,88.18,42.6,10.0,1.0
2.921053,2.0,3.0,4.0,6.0,1.0,1.0,2.0,2.0,1.0,3.0,76.3,31.27,8.0,1.0
1.94,2.5,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,69.0,36.0,7.0,1.0
3.5,2.934783,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,91.0,28.0,9.0,1.0
